zip,county,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO,state FIPS,county FIPS,state,county name,region ,subregion
35004,1115,1,1,1,1,1,115,Alabama,St. Clair County,alabama,st clair
35005,1073,1,1,1,1,1,73,Alabama,Jefferson County,alabama,jefferson
35006,1073,0.93326541,0.881355932,0.5,0.930473373,1,73,Alabama,Jefferson County,alabama,jefferson
35006,1125,0.022414671,0.101694915,0,0.024654832,1,125,Alabama,Tuscaloosa County,alabama,tuscaloosa
35006,1127,0.044319918,0.016949153,0.5,0.044871795,1,127,Alabama,Walker County,alabama,walker
35007,1117,1,1,1,1,1,117,Alabama,Shelby County,alabama,shelby
35010,1037,0.073393719,0.012935323,0.011586453,0.064060258,1,37,Alabama,Coosa County,alabama,coosa
35010,1051,0.031236773,0.006965174,0.01426025,0.028120516,1,51,Alabama,Elmore County,alabama,elmore
35010,1123,0.895369508,0.980099502,0.974153298,0.907819225,1,123,Alabama,Tallapoosa County,alabama,tallapoosa
35013,1009,0,1,0,1,1,9,Alabama,Blount County,alabama,blount
35014,1121,1,1,1,1,1,121,Alabama,Talladega County,alabama,talladega
35015,1073,0,1,0,1,1,73,Alabama,Jefferson County,alabama,jefferson
35016,1009,0.018917942,0.001474926,0,0.017420066,1,9,Alabama,Blount County,alabama,blount
35016,1043,0.123990842,0.054572271,0.096774194,0.118522602,1,43,Alabama,Cullman County,alabama,cullman
35016,1095,0.855645258,0.943952802,0.903225806,0.862734289,1,95,Alabama,Marshall County,alabama,marshall
35016,1103,0.001445957,0,0,0.001323043,1,103,Alabama,Morgan County,alabama,morgan
35019,1043,0.813405797,1,1,0.820869565,1,43,Alabama,Cullman County,alabama,cullman
35019,1103,0.186594203,0,0,0.179130435,1,103,Alabama,Morgan County,alabama,morgan
35020,1073,1,1,1,1,1,73,Alabama,Jefferson County,alabama,jefferson
35021,1073,1,1,1,1,1,73,Alabama,Jefferson County,alabama,jefferson
35022,1073,0.971850358,0.997666278,1,0.974009589,1,73,Alabama,Jefferson County,alabama,jefferson
35022,1117,0.028149642,0.002333722,0,0.025990411,1,117,Alabama,Shelby County,alabama,shelby
35023,1073,1,1,1,1,1,73,Alabama,Jefferson County,alabama,jefferson
35031,1009,1,1,1,1,1,9,Alabama,Blount County,alabama,blount
35032,1121,0,1,0,1,1,121,Alabama,Talladega County,alabama,talladega
35033,1043,0.921359223,0.975,1,0.922602089,1,43,Alabama,Cullman County,alabama,cullman
35033,1127,0.078640777,0.025,0,0.077397911,1,127,Alabama,Walker County,alabama,walker
35034,1007,1,1,1,1,1,7,Alabama,Bibb County,alabama,bibb
35035,1007,0.969962453,1,1,0.970909091,1,7,Alabama,Bibb County,alabama,bibb
35035,1117,0.030037547,0,0,0.029090909,1,117,Alabama,Shelby County,alabama,shelby
35036,1073,1,1,1,1,1,73,Alabama,Jefferson County,alabama,jefferson
35038,1127,0,1,1,1,1,127,Alabama,Walker County,alabama,walker
35040,1021,0.05570165,0.009724473,0.068965517,0.052701213,1,21,Alabama,Chilton County,alabama,chilton
35040,1117,0.94429835,0.990275527,0.931034483,0.947298787,1,117,Alabama,Shelby County,alabama,shelby
35042,1007,1,1,1,1,1,7,Alabama,Bibb County,alabama,bibb
35043,1117,1,1,1,1,1,117,Alabama,Shelby County,alabama,shelby
35044,1121,1,1,1,1,1,121,Alabama,Talladega County,alabama,talladega
35045,1021,1,1,1,1,1,21,Alabama,Chilton County,alabama,chilton
35046,1021,0.953831041,0.941860465,1,0.953591863,1,21,Alabama,Chilton County,alabama,chilton
35046,1037,0.046168959,0.058139535,0,0.046408137,1,37,Alabama,Coosa County,alabama,coosa
35048,1073,1,1,1,1,1,73,Alabama,Jefferson County,alabama,jefferson
